Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,EDAT_Q,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,10,1,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,32,1,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,25,1,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,118,1,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,44,1,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,72,1,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,17,1,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,24,1,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,102,2,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,144,2,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,130,2,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,276,2,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,202,2,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,379,2,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,263,2,6,1
