"id","Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Nivell_Educatiu","Edat","Sexe"
67,2003,1,"Ciutat Vella",1,"el Raval",124,"Estudis primaris o EGB",18,1
68,2003,1,"Ciutat Vella",1,"el Raval",80,"Estudis primaris o EGB",19,0
69,2003,1,"Ciutat Vella",1,"el Raval",1,"Estudis primaris o EGB",19,1
70,2003,1,"Ciutat Vella",1,"el Raval",1,"Estudis primaris o EGB",20,0
71,2003,1,"Ciutat Vella",1,"el Raval",16,"ESO o CFGB",3,0
72,2003,1,"Ciutat Vella",1,"el Raval",59,"ESO o CFGB",3,1
73,2003,1,"Ciutat Vella",1,"el Raval",262,"ESO o CFGB",4,0
74,2003,1,"Ciutat Vella",1,"el Raval",405,"ESO o CFGB",4,1
75,2003,1,"Ciutat Vella",1,"el Raval",429,"ESO o CFGB",5,0
76,2003,1,"Ciutat Vella",1,"el Raval",614,"ESO o CFGB",5,1
77,2003,1,"Ciutat Vella",1,"el Raval",402,"ESO o CFGB",6,0
78,2003,1,"Ciutat Vella",1,"el Raval",591,"ESO o CFGB",6,1
79,2003,1,"Ciutat Vella",1,"el Raval",337,"ESO o CFGB",7,0
80,2003,1,"Ciutat Vella",1,"el Raval",465,"ESO o CFGB",7,1
81,2003,1,"Ciutat Vella",1,"el Raval",263,"ESO o CFGB",8,0
82,2003,1,"Ciutat Vella",1,"el Raval",329,"ESO o CFGB",8,1
83,2003,1,"Ciutat Vella",1,"el Raval",166,"ESO o CFGB",9,0
84,2003,1,"Ciutat Vella",1,"el Raval",224,"ESO o CFGB",9,1
85,2003,1,"Ciutat Vella",1,"el Raval",126,"ESO o CFGB",10,0
86,2003,1,"Ciutat Vella",1,"el Raval",119,"ESO o CFGB",10,1
87,2003,1,"Ciutat Vella",1,"el Raval",41,"ESO o CFGB",11,0
88,2003,1,"Ciutat Vella",1,"el Raval",90,"ESO o CFGB",11,1
89,2003,1,"Ciutat Vella",1,"el Raval",721,"ESO o CFGB",12,0
90,2003,1,"Ciutat Vella",1,"el Raval",33,"ESO o CFGB",12,1
91,2003,1,"Ciutat Vella",1,"el Raval",17,"ESO o CFGB",13,0
92,2003,1,"Ciutat Vella",1,"el Raval",22,"ESO o CFGB",13,1
93,2003,1,"Ciutat Vella",1,"el Raval",15,"ESO o CFGB",14,0
94,2003,1,"Ciutat Vella",1,"el Raval",683,"ESO o CFGB",14,1
95,2003,1,"Ciutat Vella",1,"el Raval",716,"ESO o CFGB",15,0
96,2003,1,"Ciutat Vella",1,"el Raval",577,"ESO o CFGB",15,1
97,2003,1,"Ciutat Vella",1,"el Raval",490,"ESO o CFGB",16,0
98,2003,1,"Ciutat Vella",1,"el Raval",333,"ESO o CFGB",16,1
99,2003,1,"Ciutat Vella",1,"el Raval",212,"ESO o CFGB",17,0
100,2003,1,"Ciutat Vella",1,"el Raval",91,"ESO o CFGB",17,1
101,2003,1,"Ciutat Vella",1,"el Raval",660,"ESO o CFGB",18,0
102,2003,1,"Ciutat Vella",1,"el Raval",602,"ESO o CFGB",18,1
103,2003,1,"Ciutat Vella",1,"el Raval",1,"ESO o CFGB",19,0
104,2003,1,"Ciutat Vella",1,"el Raval",1,"ESO o CFGB",20,1
105,2003,1,"Ciutat Vella",1,"el Raval",574,"Batxillerat, BUP, COU o CFGM",3,0
106,2003,1,"Ciutat Vella",1,"el Raval",513,"Batxillerat, BUP, COU o CFGM",3,1
107,2003,1,"Ciutat Vella",1,"el Raval",395,"Batxillerat, BUP, COU o CFGM",4,0
108,2003,1,"Ciutat Vella",1,"el Raval",317,"Batxillerat, BUP, COU o CFGM",4,1
109,2003,1,"Ciutat Vella",1,"el Raval",566,"Batxillerat, BUP, COU o CFGM",5,0
110,2003,1,"Ciutat Vella",1,"el Raval",594,"Batxillerat, BUP, COU o CFGM",5,1
111,2003,1,"Ciutat Vella",1,"el Raval",492,"Batxillerat, BUP, COU o CFGM",6,0
112,2003,1,"Ciutat Vella",1,"el Raval",573,"Batxillerat, BUP, COU o CFGM",6,1
113,2003,1,"Ciutat Vella",1,"el Raval",378,"Batxillerat, BUP, COU o CFGM",7,0
114,2003,1,"Ciutat Vella",1,"el Raval",491,"Batxillerat, BUP, COU o CFGM",7,1
115,2003,1,"Ciutat Vella",1,"el Raval",288,"Batxillerat, BUP, COU o CFGM",8,0
116,2003,1,"Ciutat Vella",1,"el Raval",345,"Batxillerat, BUP, COU o CFGM",8,1
117,2003,1,"Ciutat Vella",1,"el Raval",158,"Batxillerat, BUP, COU o CFGM",9,0
118,2003,1,"Ciutat Vella",1,"el Raval",224,"Batxillerat, BUP, COU o CFGM",9,1
119,2003,1,"Ciutat Vella",1,"el Raval",51,"Batxillerat, BUP, COU o CFGM",10,0
120,2003,1,"Ciutat Vella",1,"el Raval",111,"Batxillerat, BUP, COU o CFGM",10,1
121,2003,1,"Ciutat Vella",1,"el Raval",688,"Batxillerat, BUP, COU o CFGM",11,0
122,2003,1,"Ciutat Vella",1,"el Raval",45,"Batxillerat, BUP, COU o CFGM",11,1
123,2003,1,"Ciutat Vella",1,"el Raval",311,"Batxillerat, BUP, COU o CFGM",12,0
124,2003,1,"Ciutat Vella",1,"el Raval",16,"Batxillerat, BUP, COU o CFGM",12,1
125,2003,1,"Ciutat Vella",1,"el Raval",538,"Batxillerat, BUP, COU o CFGM",13,0
126,2003,1,"Ciutat Vella",1,"el Raval",667,"Batxillerat, BUP, COU o CFGM",13,1
127,2003,1,"Ciutat Vella",1,"el Raval",490,"Batxillerat, BUP, COU o CFGM",14,0
128,2003,1,"Ciutat Vella",1,"el Raval",538,"Batxillerat, BUP, COU o CFGM",14,1
129,2003,1,"Ciutat Vella",1,"el Raval",311,"Batxillerat, BUP, COU o CFGM",15,0
130,2003,1,"Ciutat Vella",1,"el Raval",430,"Batxillerat, BUP, COU o CFGM",15,1
131,2003,1,"Ciutat Vella",1,"el Raval",179,"Batxillerat, BUP, COU o CFGM",16,0
132,2003,1,"Ciutat Vella",1,"el Raval",322,"Batxillerat, BUP, COU o CFGM",16,1
133,2003,1,"Ciutat Vella",1,"el Raval",704,"Batxillerat, BUP, COU o CFGM",17,0
134,2003,1,"Ciutat Vella",1,"el Raval",80,"Batxillerat, BUP, COU o CFGM",17,1
135,2003,1,"Ciutat Vella",1,"el Raval",1,"Batxillerat, BUP, COU o CFGM",18,0
136,2003,1,"Ciutat Vella",1,"el Raval",1,"Batxillerat, BUP, COU o CFGM",18,1
137,2003,1,"Ciutat Vella",1,"el Raval",1,"Batxillerat, BUP, COU o CFGM",19,0
138,2003,1,"Ciutat Vella",1,"el Raval",1,"Batxillerat, BUP, COU o CFGM",19,1
139,2003,1,"Ciutat Vella",1,"el Raval",1,"Batxillerat, BUP, COU o CFGM",20,0
140,2003,1,"Ciutat Vella",1,"el Raval",69,"Estudis universitaris o CFGS",3,0
141,2003,1,"Ciutat Vella",1,"el Raval",537,"Estudis universitaris o CFGS",3,1
142,2003,1,"Ciutat Vella",1,"el Raval",71,"Estudis universitaris o CFGS",4,0
143,2003,1,"Ciutat Vella",1,"el Raval",714,"Estudis universitaris o CFGS",4,1
144,2003,1,"Ciutat Vella",1,"el Raval",384,"Estudis universitaris o CFGS",5,0
145,2003,1,"Ciutat Vella",1,"el Raval",392,"Estudis universitaris o CFGS",5,1
146,2003,1,"Ciutat Vella",1,"el Raval",457,"Estudis universitaris o CFGS",6,0
147,2003,1,"Ciutat Vella",1,"el Raval",504,"Estudis universitaris o CFGS",6,1
148,2003,1,"Ciutat Vella",1,"el Raval",331,"Estudis universitaris o CFGS",7,0
149,2003,1,"Ciutat Vella",1,"el Raval",385,"Estudis universitaris o CFGS",7,1
150,2003,1,"Ciutat Vella",1,"el Raval",192,"Estudis universitaris o CFGS",8,0
151,2003,1,"Ciutat Vella",1,"el Raval",207,"Estudis universitaris o CFGS",8,1
152,2003,1,"Ciutat Vella",1,"el Raval",117,"Estudis universitaris o CFGS",9,0
153,2003,1,"Ciutat Vella",1,"el Raval",131,"Estudis universitaris o CFGS",9,1
154,2003,1,"Ciutat Vella",1,"el Raval",28,"Estudis universitaris o CFGS",10,0
155,2003,1,"Ciutat Vella",1,"el Raval",62,"Estudis universitaris o CFGS",10,1
156,2003,1,"Ciutat Vella",1,"el Raval",661,"Estudis universitaris o CFGS",11,0
157,2003,1,"Ciutat Vella",1,"el Raval",719,"Estudis universitaris o CFGS",11,1
158,2003,1,"Ciutat Vella",1,"el Raval",333,"Estudis universitaris o CFGS",12,0
159,2003,1,"Ciutat Vella",1,"el Raval",451,"Estudis universitaris o CFGS",12,1
160,2003,1,"Ciutat Vella",1,"el Raval",267,"Estudis universitaris o CFGS",13,0
161,2003,1,"Ciutat Vella",1,"el Raval",420,"Estudis universitaris o CFGS",13,1
162,2003,1,"Ciutat Vella",1,"el Raval",289,"Estudis universitaris o CFGS",14,0
163,2003,1,"Ciutat Vella",1,"el Raval",344,"Estudis universitaris o CFGS",14,1
164,2003,1,"Ciutat Vella",1,"el Raval",234,"Estudis universitaris o CFGS",15,0
165,2003,1,"Ciutat Vella",1,"el Raval",201,"Estudis universitaris o CFGS",15,1
166,2003,1,"Ciutat Vella",1,"el Raval",157,"Estudis universitaris o CFGS",16,0
167,2003,1,"Ciutat Vella",1,"el Raval",146,"Estudis universitaris o CFGS",16,1
168,2003,1,"Ciutat Vella",1,"el Raval",19,"Estudis universitaris o CFGS",17,0
169,2003,1,"Ciutat Vella",1,"el Raval",2,"Estudis universitaris o CFGS",17,1
170,2003,1,"Ciutat Vella",1,"el Raval",704,"Estudis universitaris o CFGS",18,0
171,2003,1,"Ciutat Vella",1,"el Raval",1,"Estudis universitaris o CFGS",19,0
172,2003,1,"Ciutat Vella",1,"el Raval",1,"Estudis universitaris o CFGS",20,0
202,2003,1,"Ciutat Vella",2,"el Barri Gòtic",124,"Sense estudis",3,0
203,2003,1,"Ciutat Vella",2,"el Barri Gòtic",278,"Sense estudis",3,1
204,2003,1,"Ciutat Vella",2,"el Barri Gòtic",168,"Sense estudis",4,0
205,2003,1,"Ciutat Vella",2,"el Barri Gòtic",289,"Sense estudis",4,1
206,2003,1,"Ciutat Vella",2,"el Barri Gòtic",212,"Sense estudis",5,0
207,2003,1,"Ciutat Vella",2,"el Barri Gòtic",6,"Sense estudis",5,1
208,2003,1,"Ciutat Vella",2,"el Barri Gòtic",157,"Sense estudis",6,0
209,2003,1,"Ciutat Vella",2,"el Barri Gòtic",6,"Sense estudis",6,1
210,2003,1,"Ciutat Vella",2,"el Barri Gòtic",212,"Sense estudis",7,0
211,2003,1,"Ciutat Vella",2,"el Barri Gòtic",568,"Sense estudis",7,1
212,2003,1,"Ciutat Vella",2,"el Barri Gòtic",223,"Sense estudis",8,0
213,2003,1,"Ciutat Vella",2,"el Barri Gòtic",439,"Sense estudis",8,1
214,2003,1,"Ciutat Vella",2,"el Barri Gòtic",157,"Sense estudis",9,0
215,2003,1,"Ciutat Vella",2,"el Barri Gòtic",506,"Sense estudis",9,1
216,2003,1,"Ciutat Vella",2,"el Barri Gòtic",289,"Sense estudis",10,0
217,2003,1,"Ciutat Vella",2,"el Barri Gòtic",482,"Sense estudis",10,1
218,2003,1,"Ciutat Vella",2,"el Barri Gòtic",462,"Sense estudis",11,0
219,2003,1,"Ciutat Vella",2,"el Barri Gòtic",430,"Sense estudis",11,1
220,2003,1,"Ciutat Vella",2,"el Barri Gòtic",719,"Sense estudis",12,0
221,2003,1,"Ciutat Vella",2,"el Barri Gòtic",688,"Sense estudis",12,1
222,2003,1,"Ciutat Vella",2,"el Barri Gòtic",31,"Sense estudis",13,0
223,2003,1,"Ciutat Vella",2,"el Barri Gòtic",17,"Sense estudis",13,1
224,2003,1,"Ciutat Vella",2,"el Barri Gòtic",77,"Sense estudis",14,0
225,2003,1,"Ciutat Vella",2,"el Barri Gòtic",26,"Sense estudis",14,1
226,2003,1,"Ciutat Vella",2,"el Barri Gòtic",79,"Sense estudis",15,0
227,2003,1,"Ciutat Vella",2,"el Barri Gòtic",658,"Sense estudis",15,1
228,2003,1,"Ciutat Vella",2,"el Barri Gòtic",52,"Sense estudis",16,0
229,2003,1,"Ciutat Vella",2,"el Barri Gòtic",300,"Sense estudis",16,1
230,2003,1,"Ciutat Vella",2,"el Barri Gòtic",683,"Sense estudis",17,0
231,2003,1,"Ciutat Vella",2,"el Barri Gòtic",201,"Sense estudis",17,1
232,2003,1,"Ciutat Vella",2,"el Barri Gòtic",409,"Sense estudis",18,0
233,2003,1,"Ciutat Vella",2,"el Barri Gòtic",450,"Sense estudis",18,1
234,2003,1,"Ciutat Vella",2,"el Barri Gòtic",58,"Sense estudis",19,0
235,2003,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Sense estudis",20,0
236,2003,1,"Ciutat Vella",2,"el Barri Gòtic",190,"Estudis primaris o EGB",3,0
237,2003,1,"Ciutat Vella",2,"el Barri Gòtic",640,"Estudis primaris o EGB",3,1
238,2003,1,"Ciutat Vella",2,"el Barri Gòtic",76,"Estudis primaris o EGB",4,0
239,2003,1,"Ciutat Vella",2,"el Barri Gòtic",516,"Estudis primaris o EGB",4,1
240,2003,1,"Ciutat Vella",2,"el Barri Gòtic",145,"Estudis primaris o EGB",5,0
241,2003,1,"Ciutat Vella",2,"el Barri Gòtic",9,"Estudis primaris o EGB",5,1
242,2003,1,"Ciutat Vella",2,"el Barri Gòtic",123,"Estudis primaris o EGB",6,0
243,2003,1,"Ciutat Vella",2,"el Barri Gòtic",649,"Estudis primaris o EGB",6,1
244,2003,1,"Ciutat Vella",2,"el Barri Gòtic",99,"Estudis primaris o EGB",7,0
245,2003,1,"Ciutat Vella",2,"el Barri Gòtic",510,"Estudis primaris o EGB",7,1
246,2003,1,"Ciutat Vella",2,"el Barri Gòtic",70,"Estudis primaris o EGB",8,0
247,2003,1,"Ciutat Vella",2,"el Barri Gòtic",435,"Estudis primaris o EGB",8,1
248,2003,1,"Ciutat Vella",2,"el Barri Gòtic",88,"Estudis primaris o EGB",9,0
249,2003,1,"Ciutat Vella",2,"el Barri Gòtic",294,"Estudis primaris o EGB",9,1
250,2003,1,"Ciutat Vella",2,"el Barri Gòtic",107,"Estudis primaris o EGB",10,0
251,2003,1,"Ciutat Vella",2,"el Barri Gòtic",164,"Estudis primaris o EGB",10,1
252,2003,1,"Ciutat Vella",2,"el Barri Gòtic",84,"Estudis primaris o EGB",11,0
253,2003,1,"Ciutat Vella",2,"el Barri Gòtic",134,"Estudis primaris o EGB",11,1
254,2003,1,"Ciutat Vella",2,"el Barri Gòtic",45,"Estudis primaris o EGB",12,0
255,2003,1,"Ciutat Vella",2,"el Barri Gòtic",95,"Estudis primaris o EGB",12,1
256,2003,1,"Ciutat Vella",2,"el Barri Gòtic",83,"Estudis primaris o EGB",13,0
257,2003,1,"Ciutat Vella",2,"el Barri Gòtic",96,"Estudis primaris o EGB",13,1
258,2003,1,"Ciutat Vella",2,"el Barri Gòtic",90,"Estudis primaris o EGB",14,0
259,2003,1,"Ciutat Vella",2,"el Barri Gòtic",62,"Estudis primaris o EGB",14,1
260,2003,1,"Ciutat Vella",2,"el Barri Gòtic",132,"Estudis primaris o EGB",15,0
261,2003,1,"Ciutat Vella",2,"el Barri Gòtic",721,"Estudis primaris o EGB",15,1
262,2003,1,"Ciutat Vella",2,"el Barri Gòtic",93,"Estudis primaris o EGB",16,0
263,2003,1,"Ciutat Vella",2,"el Barri Gòtic",623,"Estudis primaris o EGB",16,1
264,2003,1,"Ciutat Vella",2,"el Barri Gòtic",710,"Estudis primaris o EGB",17,0
265,2003,1,"Ciutat Vella",2,"el Barri Gòtic",322,"Estudis primaris o EGB",17,1
266,2003,1,"Ciutat Vella",2,"el Barri Gòtic",376,"Estudis primaris o EGB",18,0
267,2003,1,"Ciutat Vella",2,"el Barri Gòtic",19,"Estudis primaris o EGB",18,1
268,2003,1,"Ciutat Vella",2,"el Barri Gòtic",47,"Estudis primaris o EGB",19,0
269,2003,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Estudis primaris o EGB",19,1
270,2003,1,"Ciutat Vella",2,"el Barri Gòtic",528,"ESO o CFGB",3,0
271,2003,1,"Ciutat Vella",2,"el Barri Gòtic",497,"ESO o CFGB",3,1
272,2003,1,"Ciutat Vella",2,"el Barri Gòtic",75,"ESO o CFGB",4,0
273,2003,1,"Ciutat Vella",2,"el Barri Gòtic",166,"ESO o CFGB",4,1
274,2003,1,"Ciutat Vella",2,"el Barri Gòtic",98,"ESO o CFGB",5,0
275,2003,1,"Ciutat Vella",2,"el Barri Gòtic",303,"ESO o CFGB",5,1
276,2003,1,"Ciutat Vella",2,"el Barri Gòtic",75,"ESO o CFGB",6,0
277,2003,1,"Ciutat Vella",2,"el Barri Gòtic",287,"ESO o CFGB",6,1
278,2003,1,"Ciutat Vella",2,"el Barri Gòtic",33,"ESO o CFGB",7,0
279,2003,1,"Ciutat Vella",2,"el Barri Gòtic",185,"ESO o CFGB",7,1
280,2003,1,"Ciutat Vella",2,"el Barri Gòtic",36,"ESO o CFGB",8,0
281,2003,1,"Ciutat Vella",2,"el Barri Gòtic",93,"ESO o CFGB",8,1
282,2003,1,"Ciutat Vella",2,"el Barri Gòtic",718,"ESO o CFGB",9,0
283,2003,1,"Ciutat Vella",2,"el Barri Gòtic",49,"ESO o CFGB",9,1
284,2003,1,"Ciutat Vella",2,"el Barri Gòtic",667,"ESO o CFGB",10,0
285,2003,1,"Ciutat Vella",2,"el Barri Gòtic",24,"ESO o CFGB",10,1
286,2003,1,"Ciutat Vella",2,"el Barri Gòtic",616,"ESO o CFGB",11,0
287,2003,1,"Ciutat Vella",2,"el Barri Gòtic",628,"ESO o CFGB",11,1
288,2003,1,"Ciutat Vella",2,"el Barri Gòtic",497,"ESO o CFGB",12,0
289,2003,1,"Ciutat Vella",2,"el Barri Gòtic",398,"ESO o CFGB",12,1
290,2003,1,"Ciutat Vella",2,"el Barri Gòtic",559,"ESO o CFGB",13,0
291,2003,1,"Ciutat Vella",2,"el Barri Gòtic",409,"ESO o CFGB",13,1
292,2003,1,"Ciutat Vella",2,"el Barri Gòtic",555,"ESO o CFGB",14,0
293,2003,1,"Ciutat Vella",2,"el Barri Gòtic",430,"ESO o CFGB",14,1
294,2003,1,"Ciutat Vella",2,"el Barri Gòtic",430,"ESO o CFGB",15,0
295,2003,1,"Ciutat Vella",2,"el Barri Gòtic",322,"ESO o CFGB",15,1
296,2003,1,"Ciutat Vella",2,"el Barri Gòtic",355,"ESO o CFGB",16,0
297,2003,1,"Ciutat Vella",2,"el Barri Gòtic",179,"ESO o CFGB",16,1
298,2003,1,"Ciutat Vella",2,"el Barri Gòtic",102,"ESO o CFGB",17,0
299,2003,1,"Ciutat Vella",2,"el Barri Gòtic",47,"ESO o CFGB",17,1
300,2003,1,"Ciutat Vella",2,"el Barri Gòtic",537,"ESO o CFGB",18,0
301,2003,1,"Ciutat Vella",2,"el Barri Gòtic",1,"ESO o CFGB",18,1
302,2003,1,"Ciutat Vella",2,"el Barri Gòtic",300,"Batxillerat, BUP, COU o CFGM",3,0
303,2003,1,"Ciutat Vella",2,"el Barri Gòtic",201,"Batxillerat, BUP, COU o CFGM",3,1
304,2003,1,"Ciutat Vella",2,"el Barri Gòtic",147,"Batxillerat, BUP, COU o CFGM",4,0
305,2003,1,"Ciutat Vella",2,"el Barri Gòtic",165,"Batxillerat, BUP, COU o CFGM",4,1
306,2003,1,"Ciutat Vella",2,"el Barri Gòtic",266,"Batxillerat, BUP, COU o CFGM",5,0
307,2003,1,"Ciutat Vella",2,"el Barri Gòtic",408,"Batxillerat, BUP, COU o CFGM",5,1
308,2003,1,"Ciutat Vella",2,"el Barri Gòtic",197,"Batxillerat, BUP, COU o CFGM",6,0
309,2003,1,"Ciutat Vella",2,"el Barri Gòtic",345,"Batxillerat, BUP, COU o CFGM",6,1
310,2003,1,"Ciutat Vella",2,"el Barri Gòtic",136,"Batxillerat, BUP, COU o CFGM",7,0
311,2003,1,"Ciutat Vella",2,"el Barri Gòtic",286,"Batxillerat, BUP, COU o CFGM",7,1
312,2003,1,"Ciutat Vella",2,"el Barri Gòtic",104,"Batxillerat, BUP, COU o CFGM",8,0
313,2003,1,"Ciutat Vella",2,"el Barri Gòtic",202,"Batxillerat, BUP, COU o CFGM",8,1
314,2003,1,"Ciutat Vella",2,"el Barri Gòtic",31,"Batxillerat, BUP, COU o CFGM",9,0
315,2003,1,"Ciutat Vella",2,"el Barri Gòtic",83,"Batxillerat, BUP, COU o CFGM",9,1
316,2003,1,"Ciutat Vella",2,"el Barri Gòtic",708,"Batxillerat, BUP, COU o CFGM",10,0
317,2003,1,"Ciutat Vella",2,"el Barri Gòtic",34,"Batxillerat, BUP, COU o CFGM",10,1
318,2003,1,"Ciutat Vella",2,"el Barri Gòtic",430,"Batxillerat, BUP, COU o CFGM",11,0
319,2003,1,"Ciutat Vella",2,"el Barri Gòtic",672,"Batxillerat, BUP, COU o CFGM",11,1
320,2003,1,"Ciutat Vella",2,"el Barri Gòtic",322,"Batxillerat, BUP, COU o CFGM",12,0
321,2003,1,"Ciutat Vella",2,"el Barri Gòtic",559,"Batxillerat, BUP, COU o CFGM",12,1
322,2003,1,"Ciutat Vella",2,"el Barri Gòtic",267,"Batxillerat, BUP, COU o CFGM",13,0
323,2003,1,"Ciutat Vella",2,"el Barri Gòtic",574,"Batxillerat, BUP, COU o CFGM",13,1
324,2003,1,"Ciutat Vella",2,"el Barri Gòtic",333,"Batxillerat, BUP, COU o CFGM",14,0
325,2003,1,"Ciutat Vella",2,"el Barri Gòtic",409,"Batxillerat, BUP, COU o CFGM",14,1
326,2003,1,"Ciutat Vella",2,"el Barri Gòtic",430,"Batxillerat, BUP, COU o CFGM",15,0
327,2003,1,"Ciutat Vella",2,"el Barri Gòtic",322,"Batxillerat, BUP, COU o CFGM",15,1
328,2003,1,"Ciutat Vella",2,"el Barri Gòtic",256,"Batxillerat, BUP, COU o CFGM",16,0
329,2003,1,"Ciutat Vella",2,"el Barri Gòtic",234,"Batxillerat, BUP, COU o CFGM",16,1
330,2003,1,"Ciutat Vella",2,"el Barri Gòtic",32,"Batxillerat, BUP, COU o CFGM",17,0
